No,Kode,Nama Bahan Makanan,Karbohidrat (g),Protein (g),Lemak (g),Serat (g),% Karbo,% Protein,% Lemak,Waktu Makan,Kelompok Makanan,Mentah/Olahan
365,CR035,"Kacang uci, kering","60,6","23,4","2,4","7,4",70.1,27.1,2.8,B/L/D,Kacang,Tunggal
366,CR036,"Kacang urei, kering","69,3","12,8","1,8","26,1",82.6,15.3,2.1,B/L/D,Kacang,Tunggal
367,CR037,"Kenari banda, kering","13,7","13,9","56,2",-,16.3,16.6,67.1,B/L/D,Kacang,Tunggal
368,CR038,"Kenari, kering","13,0","15,0","66,0",-,13.8,16.0,70.2,B/L/D,Kacang,Tunggal
369,CR039,"Komak polong, segar","21,2","3,3","0,1","10,3",86.2,13.4,0.4,B/L/D,Kacang,Tunggal
370,CR040,"Koro andong, kering","61,6","20,5","4,1","7,0",71.5,23.8,4.8,B/L/D,Kacang,Tunggal
371,CR041,"Koro benguk, biji, kering","55,0","24,0","3,0","5,6",67.1,29.3,3.7,B/L/D,Kacang,Tunggal
373,CR043,"Koro loke, biji, segar","7,9","2,7","0,2","3,5",73.1,25.0,1.9,B/L/D,Kacang,Tunggal
374,CR044,"Koro roay, kering","69,4","12,5","2,1","7,5",82.6,14.9,2.5,B/L/D,Kacang,Tunggal
375,CR045,"Koro wedus, biji, kering","61,0","22,2","1,5","5,8",72.0,26.2,1.8,B/L/D,Kacang,Tunggal
376,CR046,"Lamtoro biji, muda, segar","15,4","5,7","0,3","10,8",72.0,26.6,1.4,B/L/D,Kacang,Tunggal
377,CR047,"Lamtoro biji, tua, segar","26,2","10,6","0,5","17,0",70.2,28.4,1.3,B/L/D,Kacang,Tunggal
378,CR048,Lamtoro var. gung tanpa kulit,"32,5","46,4","5,4","2,6",38.6,55.0,6.4,B/L/D,Kacang,Tunggal
379,CR049,Lamtoro var. lokal dengan kulit,"59,7","23,8","1,2","15,4",70.5,28.1,1.4,B/L/D,Kacang,Tunggal
380,CR050,"Nangka, biji, segar","36,7","4,2","0,1","1,8",89.5,10.2,0.2,B/L,Kacang,Tunggal
383,DP001,"Bayam, kukus","5,8","1,3","0,7","1,2",74.4,16.7,9.0,L/D,Sayur,Olahan
384,DP002,"Bayam, rebus","3,7","1,2","0,6","1,1",67.3,21.8,10.9,L/D,Sayur,Olahan
385,DP003,"Buncis, rebus","6,4","2,2","0,2","1,5",72.7,25.0,2.3,L/D,Sayur,Olahan
386,DP004,"Daun kacang panjang, kukus","8,0","3,7","0,3","1,8",66.7,30.8,2.5,B/L/D,Sayur,Olahan
387,DP005,"Daun katuk, rebus","9,1","5,3","0,9","1,2",59.5,34.6,5.9,B/L/D,Sayur,Olahan
388,DP006,"Daun kelor, rebus","10,0","6,1","0,9","0,9",58.8,35.9,5.3,B/L/D,Sayur,Olahan
389,DP007,"Daun mengkudu, kukus","11,5","3,8","1,5","2,4",68.5,22.6,8.9,B/L/D,Sayur,Olahan
390,DP008,"Daun singkong, rebus","4,8","3,7","0,6","1,6",52.7,40.7,6.6,B/L,Sayur,Olahan
391,DP009,"Daun talas, rebus","5,9","1,3","0,2","1,6",79.7,17.6,2.7,B/L/D,Sayur,Olahan
392,DP010,"Daun ubi merah, kukus","13,0","3,1","0,3","1,5",79.3,18.9,1.8,B/L,Sayur,Olahan
393,DP011,"Kacang panjang, kukus","7,6","3,0","0,6","1,7",67.9,26.8,5.4,B/L/D,Sayur,Olahan
394,DP012,"Kacang panjang, rebus","5,8","2,3","0,4","1,4",68.2,27.1,4.7,B/L/D,Sayur,Olahan
395,DP013,"Kangkung, kukus","4,7","3,2","0,7","1,8",54.7,37.2,8.1,L/D,Sayur,Olahan
396,DP014,"Kangkung, rebus","3,1","2,5","0,6","1,2",50.0,40.3,9.7,L/D,Sayur,Olahan
397,DP015,"Paria putih, kukus","3,4","0,8","0,2","1,2",77.3,18.2,4.5,B/L/D,Sayur,Olahan
398,DP016,"Selada, rebus","2,9","2,7","0,2","0,7",50.0,46.6,3.4,B/L,Sayur,Olahan
