No,Kode,Nama Bahan Makanan,Karbohidrat (g),Protein (g),Lemak (g),Serat (g),% Karbo,% Protein,% Lemak,Waktu Makan,Kelompok Makanan,Mentah/Olahan
453,DR010,"Bit, segar","9,6","1,6","0,1","2,6",85.0,14.2,0.9,B/L/D,Sayur,Tunggal
454,DR011,Buah kelor,"7,5","1,5","0,2","3,2",81.5,16.3,2.2,B/L,Sayur,Tunggal
455,DR012,Buah merah,"13,1","2,6","2,7","4,0",71.2,14.1,14.7,B/L,Sayur,Tunggal
456,DR013,"Buncis, segar","7,2","2,4","0,3","1,9",72.7,24.2,3.0,L/D,Sayur,Tunggal
457,DR014,"Bunga pepaya, segar","8,1","2,6","0,3","1,6",73.6,23.6,2.7,B/L,Sayur,Tunggal
458,DR015,"Bunga turi, segar","6,1","2,0","1,1","3,3",66.3,21.7,12.0,B/L/D,Sayur,Tunggal
459,DR016,"Caisin, segar","3,4","1,7","0,4","1,2",61.8,30.9,7.3,B/L/D,Sayur,Tunggal
460,DR017,"Daun bangun-bangun, segar","4,0","1,3","0,6","1,0",67.8,22.0,10.2,B/L/D,Sayur,Tunggal
461,DR018,"Daun bawang merah, segar","7,8","2,0","0,3","2,1",77.2,19.8,3.0,B/L/D,Sayur,Tunggal
462,DR019,"Daun bebuas, segar","7,3","2,7","1,0","2,1",66.4,24.5,9.1,B/L/D,Sayur,Tunggal
463,DR020,"Daun belem, segar","7,8","4,4","1,4","1,9",57.4,32.4,10.3,B/L/D,Sayur,Tunggal
464,DR021,"Daun bluntas, segar","9,4","1,8","0,5",-,80.3,15.4,4.3,B/L/D,Sayur,Tunggal
465,DR022,"Daun gandaria, segar","14,0","3,1","0,3","2,1",80.5,17.8,1.7,B/L/D,Sayur,Tunggal
466,DR023,"Daun gedi besar, segar","10,0","2,9","0,7","3,3",73.5,21.3,5.1,B/L/D,Sayur,Tunggal
467,DR024,"Daun gedi kecil, segar","10,4","3,2","0,7","3,4",72.7,22.4,4.9,B/L/D,Sayur,Tunggal
468,DR025,"Daun gelang, segar","5,8","1,3","0,7","1,3",74.4,16.7,9.0,B/L/D,Sayur,Tunggal
469,DR026,"Daun gunda bali, segar","7,0","4,6","0,9","1,4",56.0,36.8,7.2,B/L/D,Sayur,Tunggal
470,DR027,"Daun gunda serang, segar","9,2","4,2","0,9","1,3",64.3,29.4,6.3,B/L/D,Sayur,Tunggal
471,DR028,"Daun jambu mete muda, segar","16,2","4,6","0,5","3,0",76.1,21.6,2.3,B/L,Sayur,Tunggal
472,DR029,"Daun jampang, segar","5,3","3,8","0,5","1,4",55.2,39.6,5.2,B/L/D,Sayur,Tunggal
473,DR030,"Daun jawaw seluang, segar","15,3","5,0","1,3","3,9",70.8,23.1,6.0,B/L/D,Sayur,Tunggal
474,DR031,"Daun jonghe, segar","4,4","2,1","0,7","2,0",61.1,29.2,9.7,B/L/D,Sayur,Tunggal
475,DR032,"Daun kacang ma, segar","6,8","2,9","0,6","1,8",66.0,28.2,5.8,B/L/D,Sayur,Tunggal
476,DR033,"Daun kacang panjang, segar","5,8","3,1","0,3","1,7",63.0,33.7,3.3,B/L/D,Sayur,Tunggal
477,DR034,"Daun kasbi/singkong karet, segar","10,9","4,0","3,6","5,8",58.9,21.6,19.5,B/L,Sayur,Tunggal
478,DR035,"Daun katuk, segar","9,9","6,4","1,0","1,5",57.2,37.0,5.8,B/L/D,Sayur,Tunggal
479,DR036,"Daun kecipir, segar","8,5","5,0","0,5",-,60.7,35.7,3.6,B/L/D,Sayur,Tunggal
480,DR037,"Daun kedondong, segar","13,4","3,5","0,3","10,7",77.9,20.3,1.7,B/L/D,Sayur,Tunggal
481,DR038,"Daun kelor, segar","14,3","5,1","1,6","8,2",68.1,24.3,7.6,B/L/D,Sayur,Tunggal
482,DR039,"Daun kemangi, segar","7,5","5,5","0,3","8,4",56.4,41.4,2.3,B/L/D,Sayur,Tunggal
483,DR040,"Daun kenikir, segar","6,6","3,7","0,5","5,8",61.1,34.3,4.6,B/L/D,Sayur,Tunggal
484,DR041,"Daun kesum, segar","9,1","4,5","0,8","1,6",63.2,31.2,5.6,B/L/D,Sayur,Tunggal
485,DR042,"Daun kol sawi, segar","3,6","2,1","0,5","0,9",58.1,33.9,8.1,L/D,Sayur,Tunggal
486,DR043,"Daun koro, segar","3,7","3,0","0,3",-,52.9,42.9,4.3,B/L/D,Sayur,Tunggal
487,DR044,"Daun kubis, segar","8,0","2,5","1,1","3,4",69.0,21.6,9.5,L/D,Sayur,Tunggal
488,DR045,"Daun kumak, segar","2,3","1,3","0,3","0,9",59.0,33.3,7.7,B/L/D,Sayur,Tunggal
489,DR046,"Daun labu siam, segar","4,7","4,0","0,4","3,5",51.6,44.0,4.4,L/D,Sayur,Tunggal
490,DR047,"Daun labu waluh/kuning, segar","4,5","3,6","0,6","2,9",51.7,41.4,6.9,L/D,Sayur,Tunggal
491,DR048,"Daun lamtoro, segar","14,4","8,3","1,8","3,3",58.8,33.9,7.3,B/L/D,Sayur,Tunggal
492,DR049,"Daun leilem, segar","15,8","2,8","0,2","3,1",84.0,14.9,1.1,B/L/D,Sayur,Tunggal
493,DR050,"Daun leunca, segar","8,1","4,7","0,5",-,60.9,35.3,3.8,B/L/D,Sayur,Tunggal
494,DR051,"Daun lobak, segar","5,8","2,3","0,4","3,2",68.2,27.1,4.7,B/L/D,Sayur,Tunggal
495,DR052,"Daun lompong talas, segar","7,4","3,0","0,8","3,3",66.1,26.8,7.1,B/L/D,Sayur,Tunggal
496,DR053,"Daun mangkokan, segar","11,8","3,7","0,3",-,74.7,23.4,1.9,B/L/D,Sayur,Tunggal
497,DR054,"Daun matel ambon, segar","11,5","6,8","1,6","4,6",57.8,34.2,8.0,B/L/D,Sayur,Tunggal
498,DR055,"Daun melinjo, segar","21,3","5,0","1,3","10,3",77.2,18.1,4.7,B/L/D,Sayur,Tunggal
499,DR056,"Daun mengkudu, segar","11,4","4,0","1,7","3,9",66.7,23.4,9.9,B/L/D,Sayur,Tunggal
500,DR057,"Daun ndusuk, segar","38,8","1,7","0,5","10,7",94.6,4.1,1.2,B/L/D,Sayur,Tunggal
501,DR058,"Daun oyong, segar","5,3","1,0","0,1","2,0",82.8,15.6,1.6,L/D,Sayur,Tunggal
502,DR059,"Daun pakis, segar","6,9","4,5","0,4","2,0",58.5,38.1,3.4,B/L/D,Sayur,Tunggal
503,DR060,"Daun pakis longgiho, segar","3,1","2,2","3,6","2,1",34.8,24.7,40.4,B/L/D,Sayur,Tunggal
504,DR061,"Daun pakis wambateu, segar","7,2","3,4","1,2","4,8",61.0,28.8,10.2,B/L/D,Sayur,Tunggal
505,DR062,"Daun paku, segar","6,5","3,4","0,1","4,3",65.0,34.0,1.0,B/L/D,Sayur,Tunggal
506,DR063,"Daun pangi,segar","17,9","3,9","0,6","8,3",79.9,17.4,2.7,B/L/D,Sayur,Tunggal
507,DR064,"Daun pare, segar","8,4","2,7","1,0","3,0",69.4,22.3,8.3,L/D,Sayur,Tunggal
508,DR065,"Daun pepaya, segar","11,9","8,0","2,0","1,5",54.3,36.5,9.1,B/L,Sayur,Tunggal
509,DR066,"Daun pohpohan, segar","6,9","2,5","0,8","2,6",67.6,24.5,7.8,B/L/D,Sayur,Tunggal
510,DR067,"Daun selasih, segar","10,5","4,0","0,5","5,3",70.0,26.7,3.3,B/L/D,Sayur,Tunggal
511,DR068,"Daun semanggi, segar","8,5","4,4","0,5","1,9",63.4,32.8,3.7,B/L/D,Sayur,Tunggal
512,DR069,"Daun simpur, segar","7,6","3,2","2,5","1,6",57.1,24.1,18.8,B/L/D,Sayur,Tunggal
513,DR070,"Daun singkil, segar","15,2","2,0","1,0","3,3",83.5,11.0,5.5,B/L/D,Sayur,Tunggal
514,DR071,"Daun singkong, segar","7,1","6,2","1,1","2,4",49.3,43.1,7.6,B/L,Sayur,Tunggal
515,DR072,"Daun singkong ambon, segar","25,2","12,7","1,2","10,2",64.5,32.5,3.1,B/L,Sayur,Tunggal
516,DR073,"Daun singkong ampenan, segar","7,1","6,2","1,1","2,4",49.3,43.1,7.6,B/L,Sayur,Tunggal
517,DR074,"Daun singkong kopang, segar","10,7","6,3","0,7","4,6",60.5,35.6,4.0,B/L,Sayur,Tunggal
518,DR075,"Daun sintrong, segar","6,1","2,6","0,9","1,7",63.5,27.1,9.4,B/L/D,Sayur,Tunggal
519,DR076,"Daun talas, segar","13,5","3,0","0,4","3,0",79.9,17.8,2.4,B/L/D,Sayur,Tunggal
520,DR077,"Daun tespong, segar","13,9","2,9","0,3","2,3",81.3,17.0,1.8,B/L/D,Sayur,Tunggal
521,DR078,"Daun ubi kuning, segar","11,1","3,7","0,3","6,4",73.5,24.5,2.0,B/L,Sayur,Tunggal
522,DR079,"Daun ubi merah, segar","10,8","3,0","0,3","1,4",76.6,21.3,2.1,B/L,Sayur,Tunggal
523,DR080,"Daun ubi putih, segar","8,2","2,8","0,2","4,8",73.2,25.0,1.8,B/L,Sayur,Tunggal
524,DR081,"Daun ubi tinta, segar","11,9","1,7","0,1","7,6",86.9,12.4,0.7,B/L,Sayur,Tunggal
525,DR082,"Eceng, segar","3,8","1,0","0,2","1,8",76.0,20.0,4.0,B/L/D,Sayur,Tunggal
526,DR083,"Gambas (oyong), segar","4,1","0,8","0,2","1,3",80.4,15.7,3.9,L/D,Sayur,Tunggal
527,DR084,"Genjer, segar","7,7","1,7","0,2","2,5",80.2,17.7,2.1,B/L/D,Sayur,Tunggal
528,DR085,"Jagung muda / semi, segar","7,4","2,2","0,1","1,9",76.3,22.7,1.0,B/L/D,Sayur,Tunggal
529,DR086,Jamur encik,"62,0","9,4","1,1",-,85.5,13.0,1.5,B/L/D,Sayur,Tunggal
530,DR087,"Jamur kuping, kering","64,6","16,0","0,9","46,5",79.3,19.6,1.1,B/L/D,Sayur,Tunggal
531,DR088,"Jamur kuping, segar","0,9","3,8","0,6","5,1",17.0,71.7,11.3,B/L/D,Sayur,Tunggal
532,DR089,"Jamur merang, segar","4,0","3,5","0,2","2,4",51.9,45.5,2.6,B/L/D,Sayur,Tunggal
533,DR090,"Jamur tiram, segar","5,5","1,9","0,1","3,6",73.3,25.3,1.3,B/L/D,Sayur,Tunggal
534,DR091,Jamur sagu,"2,8","1,9","3,2","1,0",35.4,24.1,40.5,B/L/D,Sayur,Tunggal
535,DR092,"Jantung pisang, segar","7,1","1,2","0,3","3,2",82.6,14.0,3.5,B/L,Sayur,Tunggal
536,DR093,"Jengkol, segar","40,7","5,4","0,3","1,5",87.7,11.6,0.6,L/D,Sayur,Tunggal
537,DR094,"Jotang, segar","7,1","1,9","0,3","3,5",76.3,20.4,3.2,B/L/D,Sayur,Tunggal
538,DR095,"Kabau, segar","25,2","6,7","0,3","2,9",78.3,20.8,0.9,B/L/D,Sayur,Tunggal
539,DR096,"Kacang mekah, polong, segar","3,4","1,1","1,0","1,1",61.8,20.0,18.2,B/L/D,Sayur,Tunggal
540,DR097,"Kacang panjang, segar","5,3","2,3","0,1","2,7",68.8,29.9,1.3,B/L/D,Sayur,Tunggal
541,DR098,Kacang ranti polong,"7,9","3,1","0,2","2,5",70.5,27.7,1.8,B/L/D,Sayur,Tunggal
542,DR099,"Kalakai, segar","6,6","2,4","0,2","5,8",71.7,26.1,2.2,B/L/D,Sayur,Tunggal
543,DR100,"Kangkung, segar","3,9","3,4","0,7","2,0",48.8,42.5,8.8,L/D,Sayur,Tunggal
544,DR101,Kangkung tondano,"8,4","1,8","0,2","4,3",80.8,17.3,1.9,L/D,Sayur,Tunggal
545,DR102,"Kapri muda, segar","9,0","3,3","0,2","1,8",72.0,26.4,1.6,B/L/D,Sayur,Tunggal
546,DR103,Karawila,"3,5","2,3","0,2","2,1",58.3,38.3,3.3,B/L/D,Sayur,Tunggal
547,DR104,"Kecipir muda, segar","5,8","2,9","0,2","5,5",65.2,32.6,2.2,B/L/D,Sayur,Tunggal
548,DR105,"Kecombrang, segar","6,7","0,9","1,0","2,6",77.9,10.5,11.6,B/L/D,Sayur,Tunggal
549,DR106,"Kelawi,kluwih, segar","27,2","1,5","0,3","5,0",93.8,5.2,1.0,B/L/D,Sayur,Tunggal
550,DR107,"Kembang turi, segar","9,6","1,8","0,6","5,0",80.0,15.0,5.0,B/L/D,Sayur,Tunggal
551,DR108,"Kerokot, segar","3,8","1,7","0,4","1,0",64.4,28.8,6.8,B/L/D,Sayur,Tunggal
552,DR109,"Ketimun, segar","1,4","0,2","0,2","0,3",77.8,11.1,11.1,B/L/D,Sayur,Tunggal
553,DR110,"Ketimun krai, segar","2,0","0,5","0,2","0,6",74.1,18.5,7.4,B/L/D,Sayur,Tunggal
554,DR111,"Ketimun madura, segar","1,9","0,5","0,1","0,7",76.0,20.0,4.0,B/L/D,Sayur,Tunggal
555,DR112,"Komak, segar","21,2","3,3","0,1","10,3",86.2,13.4,0.4,B/L/D,Sayur,Tunggal
556,DR113,Kembang Kol,"4,9","2,4","0,2","1,6",65.3,32.0,2.7,L/D,Sayur,Tunggal
557,DR114,"Kol merah, kol putih","5,3","1,4","0,2","1,9",76.8,20.3,2.9,L/D,Sayur,Tunggal
559,DR116,"Koro wedus, polong","7,9","3,0","0,3","3,3",70.5,26.8,2.7,B/L/D,Sayur,Tunggal
560,DR117,"Kucai, segar","10,3","2,2","0,3","4,8",80.5,17.2,2.3,B/L/D,Sayur,Tunggal
561,DR118,"Kucai muda (Lokio), segar","7,8","3,8","0,6","4,9",63.9,31.1,4.9,B/L/D,Sayur,Tunggal
562,DR119,Kulit melinjo,"20,7","4,5","1,1","5,0",78.7,17.1,4.2,B/L/D,Sayur,Tunggal
563,DR120,"Kundur, segar","4,7","0,4","0,2","1,3",88.7,7.5,3.8,B/L/D,Sayur,Tunggal
564,DR121,"Labu air, segar","3,8","0,6","0,2","0,6",82.6,13.0,4.3,L/D,Sayur,Tunggal
565,DR122,"Labu kuning, segar","10,0","1,7","0,5","2,7",82.0,13.9,4.1,L/D,Sayur,Tunggal
566,DR123,"Labu siam, segar","6,7","0,6","0,1","6,2",90.5,8.1,1.4,L/D,Sayur,Tunggal
567,DR124,"Labu waluh, segar","6,6","1,1","0,1","0,5",84.6,14.1,1.3,L/D,Sayur,Tunggal
568,DR125,"Lantar, segar","5,5","2,2","0,3","2,9",68.8,27.5,3.8,B/L/D,Sayur,Tunggal
569,DR126,"Lobak, segar","4,2","0,9","0,1","1,4",80.8,17.3,1.9,B/L/D,Sayur,Tunggal
570,DR127,"Lumai/Leunca, segar","7,6","1,1","0,3","2,0",84.4,12.2,3.3,B/L/D,Sayur,Tunggal
571,DR128,"Melinjo, segar","13,3","5,0","0,7",-,70.0,26.3,3.7,B/L/D,Sayur,Tunggal
572,DR129,Mostarda metan - sawi hijau,"4,7","2,3","0,5","1,8",62.7,30.7,6.7,L/D,Sayur,Tunggal
573,DR130,"Nangka muda, segar","11,3","2,0","0,4","8,3",82.5,14.6,2.9,L/D,Sayur,Tunggal
574,DR131,"Paria putih, segar","3,6","1,0","0,4","1,3",72.0,20.0,8.0,B/L/D,Sayur,Tunggal
575,DR132,"Pepare ular, segar","3,9","0,6","0,1","1,0",84.8,13.0,2.2,L/D,Sayur,Tunggal
576,DR133,"Pepaya muda, segar","4,9","2,1","0,1","2,1",69.0,29.6,1.4,L/D,Sayur,Tunggal
577,DR134,"Petai, segar","15,2","5,4","1,1","2,0",70.0,24.9,5.1,B/L/D,Sayur,Tunggal
578,DR135,"Peterseli, segar","9,0","3,7","1,0",-,65.7,27.0,7.3,B/L/D,Sayur,Tunggal
579,DR136,"Pucuk lumai/daun leunca, segar","2,8","4,5","0,4",-,36.4,58.4,5.2,B/L/D,Sayur,Tunggal
580,DR137,"Putri malu, segar","14,6","3,6","0,3","7,1",78.9,19.5,1.6,B/L/D,Sayur,Tunggal
581,DR138,"Rebung, segar","5,3","0,8","0,1","9,7",85.5,12.9,1.6,L/D,Sayur,Tunggal
582,DR139,"Rimbang, segar","15,8","1,6","0,6","10,0",87.8,8.9,3.3,B/L/D,Sayur,Tunggal
583,DR140,Rumput laut,"8,1","1,4","0,3","2,2",82.7,14.3,3.1,B/L/D,Sayur,Tunggal
584,DR141,"Sawi, segar","4,0","2,3","0,3","2,5",60.6,34.8,4.5,L/D,Sayur,Tunggal
585,DR142,"Sawi putih / pecai, segar","1,7","1,0","0,1","0,8",60.7,35.7,3.6,L/D,Sayur,Tunggal
586,DR143,"Sawi taiwan, segar","4,4","1,9","0,5","2,7",64.7,27.9,7.4,L/D,Sayur,Tunggal
587,DR144,"Sawi tanah, segar","2,9","1,3","0,2","2,2",65.9,29.5,4.5,L/D,Sayur,Tunggal
588,DR145,"Selada, segar","2,9","1,2","0,2","1,8",67.4,27.9,4.7,B/L,Sayur,Tunggal
589,DR146,"Selada air, segar","2,2","3,1","0,2","0,7",40.0,56.4,3.6,B/L,Sayur,Tunggal
590,DR147,"Seledri, segar","4,6","1,0","0,1","2,0",80.7,17.5,1.8,B/L/D,Sayur,Tunggal
591,DR148,"Taoge, segar","4,3","3,7","1,2","1,1",46.7,40.2,13.0,B/L/D,Sayur,Tunggal
592,DR149,"Taoge kacang kedelai, segar","6,4","9,0","2,6","0,7",35.6,50.0,14.4,B/L/D,Sayur,Tunggal
593,DR150,"Taoge kacang tunggak, segar","5,8","5,0","0,2","2,6",52.7,45.5,1.8,B/L/D,Sayur,Tunggal
594,DR151,"Tebu terubuk (lilin), segar","3,0","4,6","0,4","0,8",37.5,57.5,5.0,B/L/D,Sayur,Tunggal
595,DR152,"Tekokak, segar","7,9","2,0","0,1","4,9",79.0,20.0,1.0,B/L/D,Sayur,Tunggal
596,DR153,"Tekokak, kering","72,6","8,3","1,7","21,2",87.9,10.0,2.1,B/L/D,Sayur,Tunggal
597,DR154,"Terong, segar","5,5","1,1","0,2","2,1",80.9,16.2,2.9,L/D,Sayur,Tunggal
598,DR155,"Terong asam, segar","6,3","2,0","0,4","3,2",72.4,23.0,4.6,L/D,Sayur,Tunggal
599,DR156,"Terung belanda, segar","8,6","2,1","1,1","1,4",72.9,17.8,9.3,B/L/D,Sayur,Tunggal
600,DR157,"Terung bengkulu, segar","11,2","1,1","0,4","3,2",88.2,8.7,3.1,B/L/D,Sayur,Tunggal
601,DR158,"Terong hintalo, segar","7,5","1,9","0,8","5,1",73.5,18.6,7.8,L/D,Sayur,Tunggal
602,DR159,Terung panjang,"5,3","2,1","0,1","0,5",70.7,28.0,1.3,B/L/D,Sayur,Tunggal
603,DR160,"Tomat, air (sari), segar","3,5","1,0","0,2","0,4",74.5,21.3,4.3,B/L/D,Sayur,Tunggal
604,DR161,"Tomat merah, segar","4,7","1,3","0,5",-,72.3,20.0,7.7,B/L/D,Sayur,Tunggal
605,DR162,"Tomat muda, segar","3,3","2,0","0,7","1,8",55.0,33.3,11.7,B/L/D,Sayur,Tunggal
606,DR163,"Uceng/ bunga melinjo, segar","11,7","5,8","1,3","4,8",62.2,30.9,6.9,B/L/D,Sayur,Tunggal
607,DR164,"Umbut kelapa, segar","7,2","2,0","0,2","2,5",76.6,21.3,2.1,B/L/D,Sayur,Tunggal
608,DR165,Umbut rotan,"5,5","2,4","0,3","2,2",67.1,29.3,3.7,B/L/D,Sayur,Tunggal
609,DR166,"Wortel, segar","7,9","1,0","0,6","1,0",83.2,10.5,6.3,L/D,Sayur,Tunggal
610,EP001,Barongko,"23,5","3,1","5,8",-,72.5,9.6,17.9,B/L/D,Buah,Olahan
611,EP002,Dodol nanas,"80,3","1,5","1,2",-,96.7,1.8,1.4,B/L,Buah,Olahan
612,EP003,Getuk pisang,"34,1","1,1","0,4","0,4",95.8,3.1,1.1,B/L,Buah,Olahan
613,EP004,Keripik lampung,"69,7","1,7","22,2","0,6",74.5,1.8,23.7,B/L,Buah,Olahan
614,EP005,Ledre pisang,"84,9","4,8","5,1","0,4",89.6,5.1,5.4,B/L,Buah,Olahan
615,EP006,Lempog durian,"63,7","3,5","5,7","4,9",87.4,4.8,7.8,B/L,Buah,Olahan
616,EP007,Loka anjoro,"30,0","1,1","4,3",-,84.7,3.1,12.1,B/L/D,Buah,Olahan
617,EP008,Rica-rica taipa,"10,0","1,6","0,3",-,84.0,13.4,2.5,B/L/D,Buah,Olahan
618,EP009,Rujak aceh,"19,7","0,4","0,3","2,4",96.6,2.0,1.5,B/L,Buah,Olahan
619,EP010,Sale kesemek,"71,4","1,1","0,6",-,97.7,1.5,0.8,B/L/D,Buah,Olahan
620,EP011,Sale pisang siam,"66,1","2,4","0,7","1,0",95.5,3.5,1.0,B/L,Buah,Olahan
621,EP012,"Sale pisang, cilacap","66,9","2,3","2,1","1,3",93.8,3.2,2.9,B/L,Buah,Olahan
622,EP013,Sanggara belanda,"38,2","6,4","7,1",-,73.9,12.4,13.7,B/L/D,Buah,Olahan
625,ER001,"Alpukat, segar","7,7","0,9","6,5",-,51.0,6.0,43.0,B/L,Buah,Tunggal
626,ER002,"Anggur hutan, segar","6,8","0,5","0,2","1,2",90.7,6.7,2.7,B/L,Buah,Tunggal
627,ER003,"Apel malang, segar","12,8","0,5","0,4","0,8",93.4,3.6,2.9,B/L,Buah,Tunggal
628,ER004,"Apel, segar","14,9","0,3","0,4","2,6",95.5,1.9,2.6,B/L,Buah,Tunggal
629,ER005,"Arbai, segar","8,3","0,8","0,5",-,86.5,8.3,5.2,B/L/D,Buah,Tunggal
630,ER006,"Belimbing, segar","8,8","0,4","0,4","3,3",91.7,4.2,4.2,B/L,Buah,Tunggal
631,ER007,"Biwah, segar","12,1","0,3","0,1","0,7",96.8,2.4,0.8,B/L/D,Buah,Tunggal
632,ER008,"Buah atung, segar","5,2","0,8","0,2",-,83.9,12.9,3.2,B/L,Buah,Tunggal
633,ER009,"Buah kelenting, segar","21,4","1,4","2,1",-,85.9,5.6,8.4,B/L,Buah,Tunggal
634,ER010,"Buah kom, segar","59,6","4,0","1,1","9,0",92.1,6.2,1.7,B/L,Buah,Tunggal
635,ER011,"Buah mentega (Bisbul), segar","9,7","0,7","0,2","2,0",91.5,6.6,1.9,B/L,Buah,Tunggal
636,ER012,"Buah Naga Merah, segar","9,1","1,7","3,1","3,2",65.5,12.2,22.3,B/L,Buah,Tunggal
637,ER013,"Buah Naga Putih, segar","10,9","0,8","1,0","3,2",85.8,6.3,7.9,B/L,Buah,Tunggal
638,ER014,"Buah negri, segar","12,2","1,2","0,1","5,2",90.4,8.9,0.7,B/L,Buah,Tunggal
639,ER015,"Buah nona, segar","25,2","1,7","0,6","2,8",91.6,6.2,2.2,B/L,Buah,Tunggal
640,ER016,"Buah rotan, segar","18,2","0,6","0,3",-,95.3,3.1,1.6,B/L,Buah,Tunggal
641,ER017,"Buah rukam, segar","26,8","0,8","0,3","7,7",96.1,2.9,1.1,B/L,Buah,Tunggal
642,ER018,"Buah ruruhi, segar","3,6","2,1","0,7","2,6",56.2,32.8,10.9,B/L,Buah,Tunggal
643,ER019,"Buah tuppa, segar","15,9","0,4","0,2",-,96.4,2.4,1.2,B/L,Buah,Tunggal
644,ER020,"Carica papaya, segar","3,7","1,9","0,2","1,0",63.8,32.8,3.4,B/L/D,Buah,Tunggal
645,ER021,"Cempedak, segar","28,6","3,0","0,4","3,4",89.4,9.4,1.2,B/L/D,Buah,Tunggal
646,ER022,"Duku, segar","16,1","1,0","0,2","4,3",93.1,5.8,1.2,B/L,Buah,Tunggal
647,ER023,"Durian, segar","28,0","2,5","3,0","3,5",83.6,7.5,9.0,B/L,Buah,Tunggal
648,ER024,"Duwet, segar","18,2","0,5","0,6","0,9",94.3,2.6,3.1,B/L/D,Buah,Tunggal
649,ER025,"Embacang, segar","25,4","1,4","0,2","1,9",94.1,5.2,0.7,B/L/D,Buah,Tunggal
650,ER026,"Encung asam, segar","17,5","3,5","4,5","9,3",68.6,13.7,17.6,B/L/D,Buah,Tunggal
651,ER027,"Erbis, segar","18,9","0,6",-,"7,7",96.9,3.1,0.0,B/L/D,Buah,Tunggal
652,ER028,Gandaria masak,"18,0","0,7","0,1","2,2",95.7,3.7,0.5,B/L/D,Buah,Tunggal
653,ER029,"Gatep, segar","39,7","4,5","1,5","13,4",86.9,9.8,3.3,B/L/D,Buah,Tunggal
654,ER030,"Jambu air, segar","11,8","0,6","0,2","2,1",93.7,4.8,1.6,B/L,Buah,Tunggal
655,ER031,Jambu biji,"12,2","0,9","0,3","2,4",91.0,6.7,2.2,B/L,Buah,Tunggal
656,ER032,Jambu biji putih tidak berbiji,"15,4","0,9","0,3","4,5",92.8,5.4,1.8,B/L,Buah,Tunggal
657,ER033,"Jambu bol, segar","9,6","2,3","0,2","3,5",79.3,19.0,1.7,B/L,Buah,Tunggal
658,ER034,"Jambu monyet, segar","15,8","0,7","0,6","1,2",92.4,4.1,3.5,B/L,Buah,Tunggal
659,ER035,"Jeruk bali, segar","12,4","0,6","0,2","0,8",93.9,4.5,1.5,B/L,Buah,Tunggal
660,ER036,"Jeruk banjar, segar","14,1","0,8","0,2",-,93.4,5.3,1.3,B/L,Buah,Tunggal
661,ER037,Jeruk garut-keprok,"10,9","0,8","0,3","1,6",90.8,6.7,2.5,B/L,Buah,Tunggal
662,ER038,"Jeruk Kalamansi, segar","8,9","0,3","0,3","2,3",93.7,3.2,3.2,B/L,Buah,Tunggal
663,ER039,"Jeruk manis, segar","11,2","0,9","0,2","1,4",91.1,7.3,1.6,B/L,Buah,Tunggal
664,ER040,"Jeruk nipis, segar","10,0","0,5","0,2","0,4",93.5,4.7,1.9,B/L,Buah,Tunggal
665,ER041,"Jeruk ragi, segar","11,1","0,7","0,2","0,5",92.5,5.8,1.7,B/L,Buah,Tunggal
666,ER042,"Kawista, segar","20,8","3,5","2,5","4,6",77.6,13.1,9.3,B/L/D,Buah,Tunggal
667,ER043,"Kedondong masak, segar","10,3","1,0","0,1","2,6",90.4,8.8,0.9,B/L/D,Buah,Tunggal
668,ER044,"Kedondong, segar","10,4","0,5","0,2","2,7",93.7,4.5,1.8,B/L/D,Buah,Tunggal
669,ER045,"Kelapa hutan, kering","36,5","2,0","52,1","15,3",40.3,2.2,57.5,B/L/D,Buah,Tunggal
670,ER046,"Kelapa muda, daging, segar","14,0","1,0","0,9",-,88.1,6.3,5.7,L/D,Buah,Tunggal
671,ER047,"Kemang, segar","11,9","1,0","0,2","1,7",90.8,7.6,1.5,B/L/D,Buah,Tunggal
672,ER048,"Kesemek, segar","20,0","0,8","0,4","0,6",94.3,3.8,1.9,B/L/D,Buah,Tunggal
673,ER049,"Kokosan, segar","13,0","1,6","0,2","1,4",87.8,10.8,1.4,B/L/D,Buah,Tunggal
674,ER050,"Kranji, segar","73,5","2,1","1,4",-,95.5,2.7,1.8,B/L/D,Buah,Tunggal
675,ER051,"Langsat, segar","14,3","0,9","0,2","1,4",92.9,5.8,1.3,B/L/D,Buah,Tunggal
676,ER052,"Lemon, segar","6,2","0,5","0,8","0,1",82.7,6.7,10.7,B/L/D,Buah,Tunggal
677,ER053,"Lontar, segar","6,0","0,4","0,2","1,6",90.9,6.1,3.0,B/L/D,Buah,Tunggal
678,ER054,"Mangga, segar","12,3","0,7",-,"1,6",94.6,5.4,0.0,B/L,Buah,Tunggal
679,ER055,"Mangga benggala, segar","12,4","2,4","0,4","5,8",81.6,15.8,2.6,B/L,Buah,Tunggal
680,ER056,"Mangga gedung, segar","11,2","0,7","0,2","1,6",92.6,5.8,1.7,B/L,Buah,Tunggal
681,ER057,"Mangga golek, segar","16,7","0,5","0,2","2,3",96.0,2.9,1.1,B/L,Buah,Tunggal
682,ER058,"Mangga harumanis, segar","11,9","0,4","0,2","1,7",95.2,3.2,1.6,B/L,Buah,Tunggal
683,ER059,"Mangga indramayu, segar","18,7","0,8","0,2","2,5",94.9,4.1,1.0,B/L,Buah,Tunggal
