No,Kode,Nama Bahan Makanan,Karbohidrat (g),Protein (g),Lemak (g),Serat (g),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
255,CP011,Kacang tanah rebus dg kulit,"12,8","13,5","31,2",-,Olahan,Kacang,DABM-1964
256,CP012,"Kacang tanah, goreng","25,5","25,5","44,4","2,8",Olahan,Kacang,KZGPI-l990
257,CP013,"Kacang tanah, rebus","8,0","10,6","18,0","1,0",Olahan,Kacang,KZGPI-l990
258,CP014,"Kacang tolo / tunggak, rebus","22,6","10,7","1,1","0,9",Olahan,Kacang,KZGPI-l990
259,CP015,Ampas kacang hijau,"19,1","3,7","0,6","2,7",Olahan,Kacang,KZGPI-1990
260,CP016,"Ampas tahu, mentah","8,1","5,0","2,1","4,1",Olahan,Kacang,KZGPI-1990
261,CP017,Ampas tahu kukus,"10,7","4,1","2,1","5,1",Olahan,Kacang,KZGPI-1990
262,CP018,"Ampas tahu, kering","41,3","26,6","18,3",-,Olahan,Kacang,DABM-1964
263,CP019,Pepes oncom ampas tahu,"10,6","5,2","1,8","2,2",Olahan,Kacang,KZGPI-1990
264,CP020,Bungkil biji karet,"50,0","29,3","3,3",-,Olahan,Kacang,DABM-1964
265,CP021,Bungkil kacang tanah,"30,5","37,4","13,0",-,Olahan,Kacang,DABM-1964
266,CP022,Bungkil kelapa,"40,0","23,0","15,0",-,Olahan,Kacang,DABM-1964
267,CP023,Dodol banjarmasin,"70,0","2,6","8,6","0,5",Olahan,Kacang,KZGMI-2001
268,CP024,Emping (kerupuk melinjo),"71,5","12,0","1,5",-,Olahan,Kacang,DABM-1964
269,CP025,Emping komak,"60,7","17,8","4,6",-,Olahan,Kacang,KZGMI-2001
270,CP026,Enting-enting gepuk hello kity,"52,6","13,6","30,3","0,2",Olahan,Kacang,KZGPI-1990
271,CP027,Enting-enting gepuk kacang tanah,"52,0","13,3","29,2","0,2",Olahan,Kacang,KZGPI-1990
272,CP028,Enting-enting wijen,"36,8","18,2","38,4","1,9",Olahan,Kacang,KZGPI-1990
273,CP029,Geplak,"53,6","1,4","14,4","1,8",Olahan,Kacang,KZGMI-2001
274,CP030,Geplak jahe,"57,7","3,1","24,4","3,3",Olahan,Kacang,KZGMI-2001
275,CP031,Kacang atom,"28,8","27,8","38,1","2,5",Olahan,Kacang,KZGPI-1990
276,CP032,Kacang goyang,"44,4","14,7","31,1",-,Olahan,Kacang,KZGMI-2001
277,CP033,Kacang negara,"58,5","18,4","19,1","11,7",Olahan,Kacang,KZGMI-2001
278,CP034,Kacang sukro,"57,7","8,8","26,1","1,8",Olahan,Kacang,KZGPI-1990
279,CP035,Kacang tanah sari,"26,0","25,5","43,8","2,2",Olahan,Kacang,KZGPI-1990
280,CP036,Keju kacang tanah (peanut butter),"20,9","27,0","49,0","1,6",Olahan,Kacang,DABM-1964
281,CP037,Kembang tahu,"23,3","48,9","13,8",-,Olahan,Kacang,KZGPI-1990
282,CP038,Kembang tahu rebus,"4,7","10,7","4,0",-,Olahan,Kacang,KZGPI-1990
283,CP039,Keripik oncom,"42,6","8,3","43,8","3,3",Olahan,Kacang,KZGPI-1990
284,CP040,Keripik tempe,"41,7","12,1","40,6","2,2",Olahan,Kacang,KZGPI-1990
285,CP041,Keripik tempe abadi besar,"39,8","15,8","37,1","3,5",Olahan,Kacang,KZGPI-1990
286,CP042,Keripik tempe abadi murni,"11,6","40,3","42,4","2,2",Olahan,Kacang,KZGPI-1990
287,CP043,Keripik tempe abadi sedang,"52,4","12,3","27,9","3,6",Olahan,Kacang,KZGPI-1990
288,CP044,Keripik tempe abadi telur,"40,2","20,8","31,7","3,0",Olahan,Kacang,KZGPI-1990
289,CP045,Keripik tempe abadi prima,"42,0","16,7","33,9","2,2",Olahan,Kacang,KZGPI-1990
290,CP046,Kwaci,"13,8","30,6","42,1","13,6",Olahan,Kacang,DABM-1964
291,CP047,Melinjo emping tebal goreng manis,"65,7","10,0","16,4",-,Olahan,Kacang,KZGPI-1990
292,CP048,"Melinjo emping tebal, goreng asin","63,0","11,1","16,2",-,Olahan,Kacang,KZGPI-1990
293,CP049,Melinjo emping tipis goreng,"59,1","11,5","24,5",-,Olahan,Kacang,KZGPI-1990
294,CP050,Moon tahu,"1,3","8,0","10,0","0,2",Olahan,Kacang,KZGMS-1993
295,CP051,Oncom,"22,6","13,0","6,0",-,Olahan,Kacang,DABM-1964
296,CP052,Oncom ampas kacang hijau,"65,7","14,9","6,0","12,3",Olahan,Kacang,KZGPI-1990
297,CP053,Oncom kacang hijau + singkong,"65,9","11,0","5,3","9,0",Olahan,Kacang,KZGPI-1990
298,CP054,Oncom kacang tanah pepes,"13,7","12,7","3,8","3,1",Olahan,Kacang,KZGPI-1990
299,CP055,Rempeyek kacang tanah,"44,3","17,5","32,5","1,7",Olahan,Kacang,KZGPI-1990
300,CP056,Rempeyek kacang tolo,"59,7","11,2","20,2","1,8",Olahan,Kacang,KZGPI-1990
301,CP057,Rempeyek kacang uci,"50,8","17,0","27,6","2,4",Olahan,Kacang,KZGPI-1990
302,CP058,Sayur lebui,"12,5","2,1","0,6","5,7",Olahan,Kacang,KZGMI-2001
303,CP059,"Saridele, bubuk","43,0","30,0","20,0","6,2",Olahan,Kacang,DABM-1964
304,CP060,Susu kedelai,"5,0","3,5","2,5","0,2",Olahan,Kacang,DABM-1964
305,CP061,"Tahu, mentah","0,8","10,9","4,7","0,1",Olahan,Kacang,KZGPI-1990
306,CP062,Tahu goreng,"2,5","9,7","8,5","0,1",Olahan,Kacang,KZGPI-1990
